GHARPAYY — LEAD MATCHING & LOCATION NORMALIZATION GUIDE,,,,,
AI entity resolution: map any free-text location input → canonical area → PIN code → sub-locality → distance features,,,,,
GHARPAYY LEAD SCHEMA — FIELDS TO CAPTURE & MATCH,,,,,
Field ID,Label,Data Type,Example Input,Normalization Rule,
"mg road, mfg road, mahatma gandhi rd, brigade road",MG Road / CBD,560001,Central,,
"domlur, dumblur, dom lur",Domlur,560071,East,,
"panathur, panathur road, pana thur",Panathur,560087,East,,
"sarjapur, sarjapur road, sarjapura",Sarjapur Road,560034,South-East,,
"christ college, christ university, christ uni, CU",Christ University,560029,South,,
"iim, iim bangalore, iimb",IIM Bangalore,560076,South,,
"itpb, itpl, international tech park",ITPB / ITPL Whitefield,560066,East,,
"embassy tech village, etv, embassy tv",Embassy TechVillage,560103,South-East,,
"hebbal, hebbala, hebbal flyover",Hebbal,560045,North,,
"yelachenahalli, yelche",Yelachenahalli / JP Nagar,560078,South,,
"rajajinagar, rajaji nagar",Rajajinagar,560025,North-West,,
"yeshwanthpur, yeshwantpur, yeswanthpur",Yeshwanthpur,560022,North-West,,
,,,,,
,,,,,
LEAD MATCHING ALGORITHM — STEP BY STEP,,,,,
Step,Action,Logic / Implementation,Priority,,
Step 1,Input Capture,"Collect: name, phone, email, office_location, current_location, preferred_area, budget_min, budget_max, room_type",,,
Step 2,Normalize Text,"Lowercase all text. Strip punctuation. Expand abbreviations (HSR→HSR Layout, BLR→Bangalore, etc.). Remove trailing/leading spaces",,,
Step 3,Office Location Match,"Fuzzy match office_location text against tech_parks canonical names using token-set ratio (RapidFuzz / fuzzywuzzy). Score ≥ 75 = match. Get (lat, lng) of matched park",,,
Step 4,Area Location Match,Fuzzy match preferred_area / current_location against alias dictionary first (exact+fuzzy). Then against sub_localities canonical names. Confidence score with each match,,,
Step 5,PIN Resolution,From matched canonical area → look up PIN code. Attach zone classification (South/North/East etc.),,,
Step 6,Distance Computation,"Query pre-computed distance matrix: dist(office_lat,office_lng → preferred_area_lat,lng). If not pre-computed, use Haversine formula in real-time",,,
Step 7,Metro Proximity,"For matched area lat/lng, compute distance to all metro stations. Return nearest operational metro station name + distance + line + status",,,
Step 8,Budget Matching,Filter available PG listings by budget_min ≤ rent ≤ budget_max AND area = matched_canonical_area AND room_type = preferred_type,,,
Step 9,Rank & Return,"Rank results by: (1) Distance to office ≤ 5km, (2) Distance to metro ≤ 1.5km, (3) Budget fit, (4) PG rating. Return top 5 options",,,
Step 10,Fallback Logic,If office not matched: ask user to clarify. If area not matched with score ≥ 60: return top-3 closest area suggestions. If no PGs in budget: expand budget ±20% and flag,,,
